"lit_prev","crates","cluster","LP","pig_prev"
"247",0.792235714285714,56,0.2,"ALP",0.75
"248",0.840725,56,0.2,"ALP",0.8
"249",0.888982142857143,56,0.2,"ALP",0.85
"250",0.935946428571429,56,0.2,"ALP",0.9
"251",0.979567857142857,56,0.2,"ALP",0.95
"252",1,56,0.2,"ALP",1
"253",0.0216285714285714,56,0.63,"ALP",0.01
"254",0.0651321428571429,56,0.63,"ALP",0.05
"255",0.1143,56,0.63,"ALP",0.1
"256",0.164546428571429,56,0.63,"ALP",0.15
"257",0.213839285714286,56,0.63,"ALP",0.2
"258",0.263817857142857,56,0.63,"ALP",0.25
"259",0.313578571428571,56,0.63,"ALP",0.3
"260",0.363046428571429,56,0.63,"ALP",0.35
"261",0.413082142857143,56,0.63,"ALP",0.4
"262",0.462982142857143,56,0.63,"ALP",0.45
"263",0.512760714285714,56,0.63,"ALP",0.5
"264",0.562757142857143,56,0.63,"ALP",0.55
"265",0.612660714285714,56,0.63,"ALP",0.6
"266",0.662496428571429,56,0.63,"ALP",0.65
"267",0.712317857142857,56,0.63,"ALP",0.7
"268",0.761989285714286,56,0.63,"ALP",0.75
"269",0.811639285714286,56,0.63,"ALP",0.8
"270",0.861175,56,0.63,"ALP",0.85
"271",0.910689285714286,56,0.63,"ALP",0.9
"272",0.959460714285714,56,0.63,"ALP",0.95
"273",1,56,0.63,"ALP",1
"274",0.0213821428571429,56,0.8,"ALP",0.01
"275",0.0607107142857143,56,0.8,"ALP",0.05
"276",0.110071428571429,56,0.8,"ALP",0.1
"277",0.159832142857143,56,0.8,"ALP",0.15
"278",0.209914285714286,56,0.8,"ALP",0.2
"279",0.259382142857143,56,0.8,"ALP",0.25
"280",0.309478571428571,56,0.8,"ALP",0.3
"281",0.359135714285714,56,0.8,"ALP",0.35
"282",0.408910714285714,56,0.8,"ALP",0.4
"283",0.458803571428571,56,0.8,"ALP",0.45
"284",0.509114285714286,56,0.8,"ALP",0.5
"285",0.558978571428571,56,0.8,"ALP",0.55
"286",0.608410714285714,56,0.8,"ALP",0.6
"287",0.658525,56,0.8,"ALP",0.65
"288",0.707571428571429,56,0.8,"ALP",0.7
"289",0.758460714285714,56,0.8,"ALP",0.75
"290",0.8074,56,0.8,"ALP",0.8
"291",0.857342857142857,56,0.8,"ALP",0.85
"292",0.907025,56,0.8,"ALP",0.9
"293",0.956532142857143,56,0.8,"ALP",0.95
"294",1,56,0.8,"ALP",1
"295",0.0201321428571429,56,1,"ALP",0.01
"296",0.0576821428571429,56,1,"ALP",0.05
"297",0.107107142857143,56,1,"ALP",0.1
"298",0.157339285714286,56,1,"ALP",0.15
"299",0.206907142857143,56,1,"ALP",0.2
"300",0.256807142857143,56,1,"ALP",0.25
"301",0.306714285714286,56,1,"ALP",0.3
"302",0.3563,56,1,"ALP",0.35
"303",0.406614285714286,56,1,"ALP",0.4
"304",0.456235714285714,56,1,"ALP",0.45
"305",0.506317857142857,56,1,"ALP",0.5
"306",0.555882142857143,56,1,"ALP",0.55
"307",0.605817857142857,56,1,"ALP",0.6
"308",0.655507142857143,56,1,"ALP",0.65
"309",0.705396428571429,56,1,"ALP",0.7
"310",0.755521428571429,56,1,"ALP",0.75
"311",0.8053,56,1,"ALP",0.8
"312",0.854746428571429,56,1,"ALP",0.85
"313",0.905060714285714,56,1,"ALP",0.9
"314",0.955046428571429,56,1,"ALP",0.95
"315",1,56,1,"ALP",1
"316",0.0073575,80,0.01,"ALP",0.01
"317",0.05383,80,0.01,"ALP",0.05
"318",0.1566925,80,0.01,"ALP",0.1
"319",0.2787225,80,0.01,"ALP",0.15
"320",0.398615,80,0.01,"ALP",0.2
"321",0.5063725,80,0.01,"ALP",0.25
"322",0.5977425,80,0.01,"ALP",0.3
"323",0.6740275,80,0.01,"ALP",0.35
"324",0.7387475,80,0.01,"ALP",0.4
"325",0.7907525,80,0.01,"ALP",0.45
"326",0.8337175,80,0.01,"ALP",0.5
"327",0.8720625,80,0.01,"ALP",0.55
"328",0.90191,80,0.01,"ALP",0.6
"329",0.92854,80,0.01,"ALP",0.65
"330",0.94976,80,0.01,"ALP",0.7
"331",0.96713,80,0.01,"ALP",0.75
"332",0.980435,80,0.01,"ALP",0.8
"333",0.9898625,80,0.01,"ALP",0.85
"334",0.99606,80,0.01,"ALP",0.9
"335",0.9991175,80,0.01,"ALP",0.95
"336",0.9998725,80,0.01,"ALP",1
"337",0.01644,80,0.2,"ALP",0.01
"338",0.0852175,80,0.2,"ALP",0.05
"339",0.1373375,80,0.2,"ALP",0.1
"340",0.1872625,80,0.2,"ALP",0.15
"341",0.2369925,80,0.2,"ALP",0.2
"342",0.2867325,80,0.2,"ALP",0.25
"343",0.336355,80,0.2,"ALP",0.3
"344",0.3863925,80,0.2,"ALP",0.35
"345",0.436355,80,0.2,"ALP",0.4
"346",0.4849175,80,0.2,"ALP",0.45
"347",0.534665,80,0.2,"ALP",0.5
"348",0.5842675,80,0.2,"ALP",0.55
"349",0.63363,80,0.2,"ALP",0.6
"350",0.6826925,80,0.2,"ALP",0.65
"351",0.73241,80,0.2,"ALP",0.7
"352",0.7812925,80,0.2,"ALP",0.75
"353",0.8301525,80,0.2,"ALP",0.8
"354",0.878705,80,0.2,"ALP",0.85
"355",0.9271375,80,0.2,"ALP",0.9
"356",0.9729575,80,0.2,"ALP",0.95
"357",1,80,0.2,"ALP",1
"358",0.0206875,80,0.63,"ALP",0.01
"359",0.0608175,80,0.63,"ALP",0.05
"360",0.1110475,80,0.63,"ALP",0.1
"361",0.1604925,80,0.63,"ALP",0.15
"362",0.21039,80,0.63,"ALP",0.2
"363",0.26012,80,0.63,"ALP",0.25
